direction,opcode,size,entry_addr,handler_addr,handler_name,handler_source,name,name_src
SERVER,78,6,0x01470f60,0x00116ad0,FUN_00116ad0,BINDER,UNKNOWN_78,NONE
SERVER,79,4,0x01454840,0x000efbe0,FUN_000efbe0,BINDER,UNKNOWN_79,NONE
SERVER,80,-1,0x01470be0,0x00121810,jag::PacketHandlers::Varclan,BINDER,VARCLAN,KNOWN
SERVER,81,36,0x01454800,,UNBOUND,UNBOUND,UNKNOWN_81,NONE
SERVER,82,-2,0x014547c0,0x001dbee0,jag::packethandlers::ClientState::RUNCLIENTSCRIPT_impl,BINDER,UNKNOWN_82,NONE
SERVER,83,14,0x01454780,0x001855d0,jag::PacketHandlers::HintArrow,BINDER,HINT_ARROW,KNOWN
SERVER,84,-1,0x01454740,0x00149700,jag::PacketHandlers::MessageClanchannel,BINDER,MESSAGE_CLANCHANNEL,KNOWN
SERVER,85,-2,0x01454700,0x0011bcd0,jag::PacketHandlers::ClanchannelFull,BINDER,CLANCHANNEL_FULL,KNOWN
SERVER,86,-2,0x014546c0,0x00120a10,jag::PacketHandlers::ClansettingsDelta,BINDER,CLANSETTINGS_DELTA,KNOWN
SERVER,87,0,0x0146fb20,0x00186c30,jag::PacketHandlers::TriggerOndialogabort,BINDER,TRIGGER_ONDIALOGABORT,KNOWN
SERVER,88,8,0x014701e0,0x00187730,FUN_00187730,BINDER,UNKNOWN_88,NONE
SERVER,89,4,0x01454680,0x00153b00,jag::PacketHandlers::CamRemoveroof,BINDER,CAM_REMOVEROOF,KNOWN
SERVER,90,-2,0x01454640,0x001ddfe0,jag::NPCList::ProcessNpcInfo,BINDER,UNKNOWN_90,NONE
SERVER,91,10,0x01470020,0x00187460,FUN_00187460,BINDER,UNKNOWN_91,NONE
SERVER,92,1,0x01470760,0x000ee590,jag::PacketHandlers::UpdateRunenergy,BINDER,UPDATE_RUNENERGY,KNOWN
SERVER,93,-2,0x01454600,0x001e4fe0,jag::PacketHandlers::RebuildRegion,BINDER,REBUILD_REGION,KNOWN
SERVER,94,-1,0x014545c0,0x0017b960,jag::PacketHandlers::SetMoveaction,BINDER,SET_MOVEACTION,KNOWN
SERVER,95,3,0x01470fa0,0x00116b90,FUN_00116b90,BINDER,UNKNOWN_95,NONE
SERVER,96,-2,0x01470ce0,0x001566c0,jag::PacketHandlers::ClientSetvarcstrLarge,BINDER,CLIENT_SETVARCSTR_LARGE,KNOWN
SERVER,97,-2,0x01454580,0x000ef4a0,jag::PacketHandlers::ClansettingsFull,BINDER,CLANSETTINGS_FULL,KNOWN
SERVER,98,32,0x014702e0,0x001e0de0,jag::PacketHandlers::IfOpensubActiveLoc,BINDER,IF_OPENSUB_ACTIVE_LOC,KNOWN
SERVER,99,0,0x01454540,0x00146ab0,jag::PacketHandlers::CamSmoothreset,BINDER,CAM_SMOOTHRESET,KNOWN
SERVER,100,5,0x0146fb60,0x001967b0,FUN_001967b0,BINDER,UNKNOWN_100,NONE
SERVER,101,8,0x0146ff60,0x00187310,FUN_00187310,BINDER,UNKNOWN_101,NONE
SERVER,102,1,0x01454500,0x001244a0,jag::PacketHandlers::LogoutFull,BINDER,LOGOUT_FULL,KNOWN
SERVER,103,8,0x01470460,0x00196eb0,FUN_00196eb0,BINDER,UNKNOWN_103,NONE
SERVER,104,8,0x0146ff20,0x00196c20,FUN_00196c20,BINDER,UNKNOWN_104,NONE
SERVER,105,11,0x014544c0,0x00153ba0,FUN_00153ba0,BINDER,UNKNOWN_105,NONE
SERVER,106,0,0x01454480,0x001713e0,jag::PacketHandlers::CamReset,BINDER,CAM_RESET,KNOWN
SERVER,107,4,0x01470220,0x00187980,FUN_00187980,BINDER,UNKNOWN_107,NONE
SERVER,108,6,0x0146fc60,0x00196af0,FUN_00196af0,BINDER,UNKNOWN_108,NONE
SERVER,109,-2,0x01471ae0,0x000ecf10,jag::PacketHandlers::UpdateZonePartialEnclosed,BINDER,UPDATE_ZONE_PARTIAL_ENCLOSED,KNOWN
SERVER,110,2,0x01454440,0x001774c0,jag::PacketHandlers::UpdateRebootTimer,BINDER,UPDATE_REBOOT_TIMER,KNOWN
SERVER,111,11,0x0146fd60,0x00186f40,FUN_00186f40,BINDER,UNKNOWN_111,NONE
SERVER,112,6,0x014716a0,0x00116470,jag::PacketHandlers::ObjAddBig,BINDER,UNKNOWN_112,NONE
SERVER,113,6,0x01470420,0x00196e10,FUN_00196e10,BINDER,UNKNOWN_113,NONE
