# Opcode handler mappings - 2244 handlers
# Format: opcode_id (decimal) | opcode_id (hex) | handler_address

 286 | 0x011e | 0x0037bd60
 287 | 0x011f | 0x003c0330
 288 | 0x0120 | 0x004385c0
 289 | 0x0121 | 0x003959c0
 290 | 0x0122 | 0x00389320
 291 | 0x0123 | 0x00395560
 292 | 0x0124 | 0x003df1d0
 293 | 0x0125 | 0x003987b0
 294 | 0x0126 | 0x0038d680
 295 | 0x0127 | 0x0037bea0
 296 | 0x0128 | 0x0035d050
 297 | 0x0129 | 0x0035cc70
 298 | 0x012a | 0x0035b300
 299 | 0x012b | 0x003c0c50
 300 | 0x012c | 0x00438c40
 301 | 0x012d | 0x003d9230
 302 | 0x012e | 0x00371f00
 303 | 0x012f | 0x00398350
 304 | 0x0130 | 0x003c8e50
 305 | 0x0131 | 0x00383e50
 306 | 0x0132 | 0x00391120
 307 | 0x0133 | 0x0038c340
 308 | 0x0134 | 0x003d9d90
 309 | 0x0135 | 0x0038da00
 310 | 0x0136 | 0x00391a50
 311 | 0x0137 | 0x00397940
 312 | 0x0138 | 0x00384010
 313 | 0x0139 | 0x00375ca0
 314 | 0x013a | 0x0038ce30
 315 | 0x013b | 0x00390780
 316 | 0x013c | 0x00437320
 317 | 0x013d | 0x003c55a0
 318 | 0x013e | 0x00370140
 319 | 0x013f | 0x003946f0
 320 | 0x0140 | 0x003c5470
 321 | 0x0141 | 0x00386d80
 322 | 0x0142 | 0x00436000
 323 | 0x0143 | 0x0035e810
 324 | 0x0144 | 0x0048d260
 325 | 0x0145 | 0x003c0f50
 326 | 0x0146 | 0x003daea0
 327 | 0x0147 | 0x003935e0
 328 | 0x0148 | 0x00388750
 329 | 0x0149 | 0x003db140
 330 | 0x014a | 0x003e01a0
 331 | 0x014b | 0x0035d500
 332 | 0x014c | 0x0036c110
 333 | 0x014d | 0x003c01c0
 334 | 0x014e | 0x0037bc30
 335 | 0x014f | 0x003c07a0
 336 | 0x0150 | 0x00396d00
 337 | 0x0151 | 0x00396a60
 338 | 0x0152 | 0x00387b80
 339 | 0x0153 | 0x00387640
 340 | 0x0154 | 0x00435810
 341 | 0x0155 | 0x00398d60
 342 | 0x0156 | 0x003cfe80
 343 | 0x0157 | 0x00358280
 344 | 0x0158 | 0x00393810
 345 | 0x0159 | 0x00387f70
 346 | 0x015a | 0x00385b90
 347 | 0x015b | 0x003c0020
 348 | 0x015c | 0x0037a960
 349 | 0x015d | 0x00360cb0
 350 | 0x015e | 0x0040eee0
 351 | 0x015f | 0x00383750
 352 | 0x0160 | 0x003a1930
 353 | 0x0161 | 0x00388280
 354 | 0x0162 | 0x0038cdc0
 355 | 0x0163 | 0x0038a6d0
 356 | 0x0164 | 0x003901d0
 357 | 0x0165 | 0x003983c0
 358 | 0x0166 | 0x0035cf40
 359 | 0x0167 | 0x00394e60
 360 | 0x0168 | 0x00394f40
 361 | 0x0169 | 0x003992a0
 362 | 0x016a | 0x00382170
 363 | 0x016b | 0x003d4d70
 364 | 0x016c | 0x0038f980
 365 | 0x016d | 0x00357eb0
 366 | 0x016e | 0x0036dd50
 367 | 0x016f | 0x00386ed0
 368 | 0x0170 | 0x00387800
 369 | 0x0171 | 0x003c0d00
 370 | 0x0172 | 0x00360b70
 371 | 0x0173 | 0x003d9820
 372 | 0x0174 | 0x0035bb90
 373 | 0x0175 | 0x00391820
 374 | 0x0176 | 0x003b3690
 375 | 0x0177 | 0x00385ce0
 376 | 0x0178 | 0x0038fb40
 377 | 0x0179 | 0x0038f050
 378 | 0x017a | 0x003c5660
 379 | 0x017b | 0x00384ee0
 380 | 0x017c | 0x003f03a0
 381 | 0x017d | 0x00370cf0
 382 | 0x017e | 0x003da1f0
 383 | 0x017f | 0x003cfef0
 384 | 0x0180 | 0x00362610
 385 | 0x0181 | 0x004372b0
 386 | 0x0182 | 0x0035d2c0
 387 | 0x0183 | 0x003c9020
 388 | 0x0184 | 0x00382950
 389 | 0x0185 | 0x0035e520
 390 | 0x0186 | 0x00393650
 391 | 0x0187 | 0x00393ab0
 392 | 0x0188 | 0x00386840
 393 | 0x0189 | 0x003da820
 394 | 0x018a | 0x003d74d0
 395 | 0x018b | 0x0038af20
 396 | 0x018c | 0x003bdf70
 397 | 0x018d | 0x0035fd10
 398 | 0x018e | 0x0036de20
 399 | 0x018f | 0x0035e1a0
 400 | 0x0190 | 0x0035ce60
 401 | 0x0191 | 0x003bffb0
 402 | 0x0192 | 0x00387020
 403 | 0x0193 | 0x00391c10
 404 | 0x0194 | 0x003892b0
 405 | 0x0195 | 0x003c1e10
 406 | 0x0196 | 0x00362ba0
 407 | 0x0197 | 0x00394840
 408 | 0x0198 | 0x0035d660
 409 | 0x0199 | 0x003985f0
 410 | 0x019a | 0x00396980
 411 | 0x019b | 0x0035cfa0
 412 | 0x019c | 0x003bf8c0
 413 | 0x019d | 0x0038aa50
 414 | 0x019e | 0x003bddc0
 415 | 0x019f | 0x003c5720
 416 | 0x01a0 | 0x003c03f0
 417 | 0x01a1 | 0x00369480
 418 | 0x01a2 | 0x00394c30
 419 | 0x01a3 | 0x0036ef50
 420 | 0x01a4 | 0x0035b060
 421 | 0x01a5 | 0x00393ce0
 422 | 0x01a6 | 0x0038d370
 423 | 0x01a7 | 0x0036e230
 424 | 0x01a8 | 0x003c0210
 425 | 0x01a9 | 0x00396600
 426 | 0x01aa | 0x00382640
 427 | 0x01ab | 0x00435250
 428 | 0x01ac | 0x0036e430
 429 | 0x01ad | 0x003831a0
 430 | 0x01ae | 0x0037fac0
 431 | 0x01af | 0x003591c0
 432 | 0x01b0 | 0x004126a0
 433 | 0x01b1 | 0x0035b110
 434 | 0x01b2 | 0x00378310
 435 | 0x01b3 | 0x003c0280
 436 | 0x01b4 | 0x0038e330
 437 | 0x01b5 | 0x0038a350
 438 | 0x01b6 | 0x00394df0
 439 | 0x01b7 | 0x003bfdb0
 440 | 0x01b8 | 0x0035c940
 441 | 0x01b9 | 0x00357ee0
 442 | 0x01ba | 0x0040e890
 443 | 0x01bb | 0x0038d0d0
 444 | 0x01bc | 0x00390390
 445 | 0x01bd | 0x003c3ce0
 446 | 0x01be | 0x0035d9d0
 447 | 0x01bf | 0x00371af0
 448 | 0x01c0 | 0x00394300
 449 | 0x01c1 | 0x003ddd60
 450 | 0x01c2 | 0x003c46d0
 451 | 0x01c3 | 0x003852d0
 452 | 0x01c4 | 0x00397be0
 453 | 0x01c5 | 0x003be160
 454 | 0x01c6 | 0x0036f370
 455 | 0x01c7 | 0x0035bce0
 456 | 0x01c8 | 0x00395410
 457 | 0x01c9 | 0x003bf550
 458 | 0x01ca | 0x003b0470
 459 | 0x01cb | 0x003beee0
 460 | 0x01cc | 0x00360300
 461 | 0x01cd | 0x00396ad0
 462 | 0x01ce | 0x0035a8b0
 463 | 0x01cf | 0x003c5840
 464 | 0x01d0 | 0x00383830
 465 | 0x01d1 | 0x0043d6f0
 466 | 0x01d2 | 0x0040d330
 467 | 0x01d3 | 0x00391ac0
 468 | 0x01d4 | 0x003863e0
 469 | 0x01d5 | 0x003772d0
 470 | 0x01d6 | 0x00392380
 471 | 0x01d7 | 0x00359740
 472 | 0x01d8 | 0x003902b0
 473 | 0x01d9 | 0x00398c10
 474 | 0x01da | 0x0035c670
 475 | 0x01db | 0x0048d3f0
 476 | 0x01dc | 0x003624f0
 477 | 0x01dd | 0x00358000
 478 | 0x01de | 0x0035c2e0
 479 | 0x01df | 0x00435690
 480 | 0x01e0 | 0x0038b930
 481 | 0x01e1 | 0x0035c300
 482 | 0x01e2 | 0x0035eaf0
 483 | 0x01e3 | 0x003876b0
 484 | 0x01e4 | 0x003d4a70
 485 | 0x01e5 | 0x00397400
 486 | 0x01e6 | 0x0038c880
 487 | 0x01e7 | 0x0040edb0
 488 | 0x01e8 | 0x00385490
 489 | 0x01e9 | 0x00359160
 490 | 0x01ea | 0x00362140
 491 | 0x01eb | 0x003851f0
 492 | 0x01ec | 0x00359190
 493 | 0x01ed | 0x0037b800
 494 | 0x01ee | 0x00399da0
 495 | 0x01ef | 0x003c4d80
 496 | 0x01f0 | 0x003c5900
 497 | 0x01f1 | 0x0035ca60
 498 | 0x01f2 | 0x003cf7f0
 499 | 0x01f3 | 0x003c4610
 500 | 0x01f4 | 0x00382790
 501 | 0x01f5 | 0x00358c20
 502 | 0x01f6 | 0x00392930
 503 | 0x01f7 | 0x00389390
 504 | 0x01f8 | 0x0038b4d0
 505 | 0x01f9 | 0x0037a880
 506 | 0x01fa | 0x003d9320
 507 | 0x01fb | 0x0038a7b0
 508 | 0x01fc | 0x00394ae0
 509 | 0x01fd | 0x003998c0
 510 | 0x01fe | 0x00396c20
 511 | 0x01ff | 0x003f3910
 512 | 0x0200 | 0x003d3ca0
 513 | 0x0201 | 0x00383fa0
 514 | 0x0202 | 0x00395b80
 515 | 0x0203 | 0x00360e90
 516 | 0x0204 | 0x00390fd0
 517 | 0x0205 | 0x003e04e0
 518 | 0x0206 | 0x003c0e50
 519 | 0x0207 | 0x003d9730
 520 | 0x0208 | 0x0038a970
 521 | 0x0209 | 0x0049b2a0
 522 | 0x020a | 0x00361f80
 523 | 0x020b | 0x0038a270
 524 | 0x020c | 0x003d4b80
 525 | 0x020d | 0x0035b700
 526 | 0x020e | 0x00366b40
 527 | 0x020f | 0x003ceb20
 528 | 0x0210 | 0x003d9cb0
 529 | 0x0211 | 0x004284c0
 530 | 0x0212 | 0x0035e630
 531 | 0x0213 | 0x00435e00
 532 | 0x0214 | 0x0035a850
 533 | 0x0215 | 0x0037a6e0
 534 | 0x0216 | 0x00399700
 535 | 0x0217 | 0x003cbd70
 536 | 0x0218 | 0x00385650
 537 | 0x0219 | 0x00397a20
 538 | 0x021a | 0x00357fa0
 539 | 0x021b | 0x0043a900
 540 | 0x021c | 0x0035d320
 541 | 0x021d | 0x003620a0
 542 | 0x021e | 0x003c8f90
 543 | 0x021f | 0x00388600
 544 | 0x0220 | 0x00392cb0
 545 | 0x0221 | 0x003c1a60
 546 | 0x0222 | 0x0038add0
 547 | 0x0223 | 0x00375940
 548 | 0x0224 | 0x003d9aa0
 549 | 0x0225 | 0x0035b760
 550 | 0x0226 | 0x003c0a00
 551 | 0x0227 | 0x0035cbc0
 552 | 0x0228 | 0x00361230
 553 | 0x0229 | 0x00397080
 554 | 0x022a | 0x00372860
 555 | 0x022b | 0x0048ee50
 556 | 0x022c | 0x00382fe0
 557 | 0x022d | 0x0036d930
 558 | 0x022e | 0x00386f40
 559 | 0x022f | 0x0043d670
 560 | 0x0230 | 0x0035fab0
 561 | 0x0231 | 0x003c4910
 562 | 0x0232 | 0x00386990
 563 | 0x0233 | 0x00394060
 564 | 0x0234 | 0x003c45e0
 565 | 0x0235 | 0x0035dd80
 566 | 0x0236 | 0x003c02b0
 567 | 0x0237 | 0x00392d90
 568 | 0x0238 | 0x0035d5b0
 569 | 0x0239 | 0x0035bc80
 570 | 0x023a | 0x0038c810
 571 | 0x023b | 0x0035c870
 572 | 0x023c | 0x003bfe10
 573 | 0x023d | 0x00370480
 574 | 0x023e | 0x003f40f0
